word_a	freq_a	word_b	freq_b	type	use_marker	d_type	count
poland	523764	belgium	338927	seed=germany;cui=0	TRUE	jbt	49
facebook	104785	craigslist	8140	seed=netflix;cui=0	TRUE	jbt	48
iphone	81671	consoles	71789	seed=playstation;cui=0	TRUE	jbt	47
gospel	73293	bluegrass	16334	seed=hip-hop;cui=0	TRUE	jbt	46
buffalo	188982	elephant	56473	seed=cattle;cui=1	TRUE	jbt	45
europe	1649553	malaysia	452134	seed=japan;cui=0	TRUE	jbt	45
cherry	60536	banana	43844	seed=apple;cui=0	TRUE	jbt	42
banana	43844	carrot	19889	seed=apple;cui=0	TRUE	jbt	40
coldplay	11168	radiohead	10504	seed=metallica;cui=0	TRUE	jbt	40
cherry	60536	pineapple	15282	seed=apple;cui=0	TRUE	jbt	37
lobster	26935	oyster	16101	seed=salmon;cui=0	TRUE	jbt	28
shrimp	56368	grouper	4726	seed=salmon;cui=0	TRUE	jbt	15
cookie	36962	hazelnut	2829	seed=chocolate;cui=0	TRUE	jbt	11
