book	article	(N, N)
book	autobiography	(N, N)
book	biography	(N, N)
book	cookbook	(N, N)
book	essay	(N, N)
book	journal	(N, N)
book	memoir	(N, N)
book	novel	(N, N)
book	textbook	(N, N)
car	automobile	(N, N)
car	bus	(N, N)
car	jeep	(N, N)
car	minivan	(N, N)
car	motorcycle	(N, N)
car	suv	(N, P)
car	truck	(N, N)
car	vehicle	(N, N)
carpenter	bricklayer	(N, N)
carpenter	electrician	(N, N)
carpenter	engineer	(N, N)
carpenter	laborer	(N, N)
carpenter	mechanic	(N, N)
carpenter	plumber	(N, N)
carpenter	roofer	(N, N)
carpenter	technician	(N, N)
carpenter	welder	(N, N)
cellphone	iphone	(N, N)
cellphone	ipod	(N, N)
cellphone	laptop	(N, N)
cellphone	mobile	(N, N)
cellphone	pager	(N, N)
cellphone	phone	(N, N)
cellphone	wallet	(N, N)
christmas	birthday	(N, N)
christmas	day	(N, N)
christmas	easte	(N, P)
christmas	halloween	(N, P)
christmas	hanukkah	(N, P)
christmas	holiday	(N, N)
christmas	thanksgiving	(N, P)
christmas	wedding	(N, N)
coffee	beer	(N, N)
coffee	beverage	(N, N)
coffee	cappuccino	(N, N)
coffee	chocolate	(N, N)
coffee	drink	(N, N)
coffee	juice	(N, N)
coffee	milk	(N, N)
coffee	soda	(N, N)
coffee	tea	(N, N)
cork	bottle	(N, N)
cork	cardboard	(N, N)
cork	cement	(N, N)
cork	concrete	(N, N)
cork	fiberglas	(N, N)
cork	foam	(N, N)
cork	plastic	(N, N)
cork	rubber	(N, N)
cork	wood	(N, N)
florida	arizon	(N, P)
florida	california	(N, P)
florida	carolina	(N, P)
florida	georgia	(N, P)
florida	michigan	(N, P)
florida	missouri	(N, P)
florida	oregon	(N, P)
florida	pennsylvania	(N, P)
florida	virginia	(N, P)
hamster	animal	(N, N)
hamster	cat	(N, N)
hamster	ferret	(N, N)
hamster	monkey	(N, N)
hamster	mouse	(N, N)
hamster	pig	(N, N)
hamster	rabbit	(N, N)
hamster	rat	(N, N)
hamster	snake	(N, N)
hiking	bicycling	(N, N)
hiking	camping	(N, N)
hiking	canoeing	(N, N)
hiking	fishing	(N, N)
hiking	kayaking	(N, N)
hiking	skiing	(N, N)
hiking	swimming	(N, N)
hoover	coolidge	(N, P)
hoover	eisenhower	(N, P)
hoover	kennedy	(N, P)
hoover	lincoln	(N, P)
hoover	nixon	(N, P)
hoover	reagan	(N, P)
hoover	roosevel	(N, P)
hoover	taf	(N, P)
hoover	truman	(N, P)
metallica	ac/dc	(N, P)
metallica	aerosmith	(N, P)
metallica	clapton	(N, P)
metallica	coldplay	(N, P)
metallica	jovi	(N, P)
metallica	nirvana	(N, P)
metallica	radiohead	(N, P)
metallica	u2	(N, P)
metallica	zeppelin	(N, P)
nbc	channel	(N, P)
nbc	cnn	(N, P)
nbc	espn	(N, P)
nbc	fox	(N, P)
nbc	tnt	(N, P)
netflix	amazon	(N, P)
netflix	blockbuster	(N, P)
netflix	facebook	(N, P)
