feature,class,f1,precision,recall
InferSent,Overall,0.8580029184053125,0.859814453723354,0.8673026886383348
InferSent,BETTER,0.7706013363028952,0.7521739130434782,0.7899543378995434
InferSent,WORSE,0.45390070921985815,0.6956521739130435,0.3368421052631579
InferSent,NONE,0.9265734265734263,0.9064994298745723,0.9475566150178785
InferSent,Overall,0.8504470407563574,0.8467667819567537,0.859375
InferSent,BETTER,0.7571428571428572,0.7871287128712872,0.7293577981651376
InferSent,WORSE,0.41290322580645156,0.5333333333333333,0.3368421052631579
InferSent,NONE,0.9242336610757663,0.8977528089887641,0.9523241954707986
InferSent,Overall,0.8470896907976654,0.846779000385533,0.8576388888888888
InferSent,BETTER,0.7440758293838863,0.7696078431372549,0.7201834862385321
InferSent,WORSE,0.4444444444444444,0.6530612244897959,0.3368421052631579
InferSent,NONE,0.9194476409666283,0.8887652947719689,0.9523241954707986
InferSent,Overall,0.8463484852472206,0.8433535879629629,0.8559027777777778
InferSent,BETTER,0.7414634146341463,0.7916666666666666,0.6972477064220184
InferSent,WORSE,0.42580645161290326,0.55,0.3473684210526316
InferSent,NONE,0.9212190914318575,0.89,0.9547079856972587
InferSent,Overall,0.8655270900132677,0.8660868896092588,0.8739130434782608
InferSent,BETTER,0.7811764705882352,0.8019323671497585,0.7614678899082569
InferSent,WORSE,0.5068493150684932,0.7115384615384616,0.39361702127659576
InferSent,NONE,0.9277038750722962,0.9001122334455668,0.9570405727923628
