index,name,source,type,cleaned_name,freq
63,Le Coq Sportif,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Le Coq Sportif,152
64,Le Tigre,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Le Tigre,634
65,Legea,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Legea,98
66,Lescon,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Lescon,18
67,Li-Ning,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Li-Ning,752
68,Lonsdale,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Lonsdale,6810
69,Looptworks,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Looptworks,13
70,Lorna Jane,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Lorna Jane,0
71,Loudmouth Golf,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Loudmouth Golf,23
72,Luanvi,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Luanvi,4
73,Lululemon Athletica,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Lululemon Athletica,95
74,LUTA,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,LUTA,243
75,Macron,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Macron,337
76,Maverik Lacrosse,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Maverik Lacrosse,12
77,McKenzie,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,McKenzie,34082
78,Merooj,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Merooj,7
79,Meyba,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Meyba,8
80,Mikasa,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Mikasa,709
81,Mitchell & Ness,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Mitchell & Ness,0
82,Mitre,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Mitre,4222
83,Mizuno,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Mizuno,4416
84,Moncler,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Moncler,71
85,Mondetta,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Mondetta,36
86,Munich,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Munich,155798
87,Musto,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Musto,1733
88,Nanque,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Nanque,9
89,Newton Running,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Newton Running,20
90,Nike,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Nike,61042
91,Nomis,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Nomis,421
92,Olympikus,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Olympikus,19
93,Onda,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Onda,1931
94,O'Neills,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,O'Neills,608
95,Pearl Izumi,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Pearl Izumi,110
96,Penalty,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Penalty,509508
97,Ping,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Ping,23315
98,Pirma,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Pirma,106
99,Prospecs,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Prospecs,22
100,Puma,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Puma,10778
101,Quechua,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Quechua,6715
102,Quinn,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Quinn,80660
103,Rapha,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Rapha,181
104,Raymond,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Raymond,144349
105,Reebok,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Reebok,21047
106,Reusch,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Reusch,262
107,Russell Athletic,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Russell Athletic,204
108,Rykä,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Rykä,11
109,Saeta,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Saeta,182
110,Salomon,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Salomon,50328
111,Santini SMS,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Santini SMS,9
112,Sarson,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Sarson,389
113,Sergio Tacchini,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Sergio Tacchini,164
114,Sherrin,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Sherrin,829
115,Shimano,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Shimano,2605
116,Signia,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Signia,98
117,Skins,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Skins,24959
118,Skis Rossignol,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Skis Rossignol,114
119,Slazenger,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Slazenger,433
120,Soffe,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Soffe,168
121,Sondico,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Sondico,14
122,Spalding,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Spalding,12175
123,SPECS,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,SPECS,8458
124,Speedo,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Speedo,3736
125,Sportika,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Sportika,21
126,Starbury,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Starbury,280
127,Steeden,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Steeden,88
128,Sting,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Sting,34379
129,Sugino,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Sugino,155
130,Superga,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Superga,319
131,Swix,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Swix,66
132,TaylorMade-Adidas,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,TaylorMade-Adidas,70
133,TH3,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,TH3,47
134,Titleist,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Titleist,2153
135,Tokaido,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Tokaido,824
136,Topper,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Topper,2966
137,Tyr,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Tyr,1241
138,Uhlsport,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Uhlsport,63
139,Umbro,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Umbro,1691
140,Under Armour,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Under Armour,1207
141,Walon Sport,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Walon Sport,6
142,Webb Ellis,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Webb Ellis,882
143,Wilson,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Wilson,462365
144,X-Bionic,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,X-Bionic,5
145,X-Socks,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,X-Socks,8
146,X-Technology,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,X-Technology,2
147,XBlades,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,XBlades,0
148,Xero Shoes,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Xero Shoes,12
149,Xtep,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Xtep,45
150,Yonex,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Yonex,847
151,Zoke,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Zoke,20
152,BMTF,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,BMTF,6
153,Doel,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Doel,599
154,Jamuna,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Jamuna,1972
155,Rangs,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Rangs,64
156,Aigo (Beijing Huaqi Information Digital Technology Co. Ltd.),https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Aigo,153
157,Amoi,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Amoi,110
158,BYD Electronic,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,BYD Electronic,17
159,Changhong,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Changhong,1384
160,Gionee,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Gionee,5
161,Haier,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Haier,2810
162,Hasee,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Hasee,73
163,Hisense,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Hisense,643
164,Huawei,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Huawei,4259
165,Konka Group,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Konka Group,128
166,Lenovo,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Lenovo,12061
167,Meizu,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Meizu,160
168,Ningbo Bird,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Ningbo Bird,109
169,Oppo,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Oppo,415
170,Skyworth,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Skyworth,208
171,TCL,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,TCL,3197
172,TP-Link/intex,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,TP-Link/intex,0
173,Vivo Electronics,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Vivo Electronics,0
174,Zopo Mobile,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Zopo Mobile,0
175,ZTE,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,ZTE,2128
176,Xiaomi,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Xiaomi,117
177,OnePlus,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,OnePlus,11
178,JBL (now manufacturing speakers in that country),https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,JBL,3084
179,Amkette,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Amkette,29
180,Beetel,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Beetel,11
181,Bharat Electronics,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Bharat Electronics,166
182,BPL,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,BPL,1596
183,Celkon,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Celkon,12
184,Electronics Corporation of India,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Electronics Corporation of India,27
185,Godrej,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Godrej,1026
186,HCL,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,HCL,2341
187,Havells,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Havells,81
188,IBALL,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,IBALL,71
189,Intex,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Intex,206
190,Karbonn,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Karbonn,72
191,Kenstar,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Kenstar,18
192,Lava (also Xolo),https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Lava,27816
193,Micromax,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Micromax,169
194,Myzornis,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Myzornis,41
195,Moser Baer,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Moser Baer,226
196,Notion Ink,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Notion Ink,9
197,Onida,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Onida,192
198,Surya Roshni Limited,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Surya Roshni Limited,0
199,Simmtronics,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Simmtronics,15
200,Sterlite Technologies,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Sterlite Technologies,9
201,Voltas,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Voltas,183
202,Videocon,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Videocon,673
203,Videotex,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Videotex,267
204,Wipro,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Wipro,5962
