word_a,freq_a,word_b,freq_b,type,use_marker,d_type,count
Fiat,571,Ram,47362,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,688
Intel,1738,Kingston,786,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,688
Honda,1626,Ferrari,92463,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,685
Taurus,18862,Beretta,4165,https://en.wikipedia.org/wiki/List_of_firearm_brands,TRUE,brands,685
Google,319132,Dell,9489,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,683
Fiat,571,Mini,49695,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,682
Microsoft,611659,IBM,174355,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,681
Jaguar,37288,Tata,28963,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,681
Chrysler,163926,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,677
Pepsi,38546,Diet Coke,4684,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,TRUE,brands,674
Google,319132,Sony,2259,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,674
Microsoft,611659,BT,73,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,674
Aston Martin,8212,Lamborghini,6352,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,669
Sony,2259,Intel,1738,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,669
Cadillac,36142,Lexus,24863,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,666
Dell,9489,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,664
Toyota,2132,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,658
Audi,33676,Lexus,24863,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,657
Google,319132,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,655
