index,name,source,type,cleaned_name,freq
58,Net Nanny,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Net Nanny,338
59,Netsentron,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Netsentron,7
60,NetSpark,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,NetSpark,2
61,OnlineFamily.Norton,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,OnlineFamily.Norton,19
62,OpenDNS,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,OpenDNS,195
63,Opendium Web Gateway,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Opendium Web Gateway,0
64,Opendium UTM,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Opendium UTM,0
65,SafeSearch,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,SafeSearch,108
66,Scieno Sitter,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Scieno Sitter,14
67,ScreenLimit,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,ScreenLimit,0
68,Secure Web SmartFilter EDU,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Secure Web SmartFilter EDU,0
69,Sentry Parental Controls,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Sentry Parental Controls,7
70,SimpliProtected,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,SimpliProtected,0
71,SurfWatch,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,SurfWatch,434
72,squidGuard,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,squidGuard,29
73,Trustwave SecureBrowsing,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Trustwave SecureBrowsing,0
74,UserGate Web Filter,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,UserGate Web Filter,0
75,WANSecure Firewall,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,WANSecure Firewall,2
76,Webconverger,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Webconverger,12
77,WebMinder,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,WebMinder,14
78,WebWatcher,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,WebWatcher,25
79,X3watch,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,X3watch,15
80,Zscaler,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Zscaler,51
81,Pumpic,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Pumpic,0
82,SafeSurf,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,SafeSurf,51
83,Boolean,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Boolean,9369
84,Floating-point,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Floating-point,4492
85,Integer,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Integer,25232
86,String,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,String,282915
87,Reference,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Reference,460559
88,Enumerated type,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Enumerated type,105
89,Array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Array,163914
90,"Tagged union (also called variant, variant record, discriminated union, or disjoint union)",https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Tagged union,39
91,Associative array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Associative array,237
92,Multimap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Multimap,2011
93,Multiset,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Multiset,326
94,Stack,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Stack,55526
95,Queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Queue,34677
96,Double-ended queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Double-ended queue,19
97,Priority queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Priority queue,274
98,Graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Graph,57853
99,Array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Array,163914
100,Bit array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Bit array,47
101,Bit field,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Bit field,195
102,Bitboard,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Bitboard,41
103,Bitmap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Bitmap,4410
104,Circular buffer,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Circular buffer,68
105,Control table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Control table,89
106,Dope vector,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Dope vector,15
107,Dynamic array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Dynamic array,126
108,Gap buffer,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Gap buffer,14
109,Hashed array tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Hashed array tree,6
110,Heightmap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Heightmap,55
111,Lookup table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Lookup table,574
112,Matrix,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Matrix,60816
113,Parallel array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Parallel array,30
114,Sorted array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Sorted array,52
115,Sparse matrix,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Sparse matrix,171
116,Iliffe vector,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Iliffe vector,8
117,Variable-length array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Variable-length array,18
118,Doubly linked list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Doubly linked list,53
119,Array list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Array list,14
120,Linked list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Linked list,806
121,Self-organizing list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Self-organizing list,14
122,Skip list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Skip list,18
123,Unrolled linked list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Unrolled linked list,6
124,VList,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,VList,90
125,Conc-Tree list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Conc-Tree list,0
126,Xor linked list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Xor linked list,11
127,Doubly connected edge list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Doubly connected edge list,7
128,Difference list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Difference list,33
129,Free list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Free list,263
130,AA tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,AA tree,17
131,AVL tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,AVL tree,41
132,Binary search tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Binary search tree,244
133,Binary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Binary tree,595
134,Cartesian tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Cartesian tree,46
135,Left-child right-sibling binary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Left-child right-sibling binary tree,2
136,Order statistic tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Order statistic tree,2
137,Pagoda,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Pagoda,7050
138,Randomized binary search tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Randomized binary search tree,14
139,Red–black tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Red–black tree,32
140,Scapegoat tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Scapegoat tree,10
141,Self-balancing binary search tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Self-balancing binary search tree,30
142,Splay tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Splay tree,40
143,T-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,T-tree,14
144,Tango tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Tango tree,10
145,Threaded binary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Threaded binary tree,8
146,Top tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Top tree,20
147,Treap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Treap,48
148,WAVL tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,WAVL tree,0
149,Weight-balanced tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Weight-balanced tree,2
150,B-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,B-tree,248
151,B+ tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,B+ tree,248
152,B*-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,B*,481664
153,B sharp tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,B sharp tree,0
154,Dancing tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Dancing tree,15
155,2-3 tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,2-3 tree,0
156,2-3-4 tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,2-3-4 tree,0
157,Queap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Queap,15
158,Fusion tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Fusion tree,7
159,Bx-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Bx-tree,20
160,AList,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,AList,82
161,Binary heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Binary heap,46
162,Weak heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Weak heap,2
163,Binomial heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Binomial heap,25
164,Fibonacci heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Fibonacci heap,39
165,AF-heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,AF-heap,3
166,Leonardo Heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Leonardo Heap,0
167,2-3 heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,2-3 heap,0
168,Soft heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Soft heap,29
169,Pairing heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Pairing heap,6
170,Leftist heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Leftist heap,3
171,Treap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Treap,48
172,Beap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Beap,22
173,Skew heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Skew heap,7
174,Ternary heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Ternary heap,3
175,D-ary heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,D-ary heap,2
176,Brodal queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Brodal queue,6
177,Trie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Trie,4318
178,Radix tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Radix tree,9
179,Suffix tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Suffix tree,85
180,Suffix array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Suffix array,76
181,Compressed suffix array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Compressed suffix array,7
182,FM-index,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,FM-index,17
183,Generalised suffix tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Generalised suffix tree,4
184,B-trie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,B-trie,2
185,Judy array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Judy array,10
186,X-fast trie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,X-fast trie,20
187,Y-fast trie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Y-fast trie,6
188,Merkle Tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Merkle Tree,17
189,Ctrie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Ctrie,15
190,Ternary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Ternary tree,19
191,K-ary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,K-ary tree,17
192,And–or tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,And–or tree,8
193,"(a,b)-tree",https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,,0
194,Link/cut tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Link/cut tree,0
195,SPQR-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,SPQR-tree,27
